trip_id,start_time,sunrise_date_time
2180,2013-07-14 16:51:51,2013-07-14 02:12:36
2183,2013-07-15 15:13:29,2013-07-15 02:14:11
2186,2013-07-16 13:06:45,2013-07-16 02:15:48
2188,2013-07-16 18:54:45,2013-07-16 02:15:46
2189,2013-07-17 11:59:00,2013-07-17 02:17:27
2192,2013-07-17 18:58:25,2013-07-17 02:17:26
2201,2013-07-26 15:54:05,2013-07-26 02:33:38
2202,2013-07-27 15:09:18,2013-07-27 02:35:32
1353,2011-05-22 00:56:33,2011-05-22 02:16:01
1354,2011-05-23 01:27:53,2011-05-23 02:14:21
1355,2011-05-23 17:19:51,2011-05-23 02:14:21
1356,2011-05-24 00:13:43,2011-05-24 02:12:43
1357,2011-05-25 00:29:11,2011-05-25 02:11:05
1360,2011-05-25 17:01:58,2011-05-25 02:11:07
1361,2011-05-26 01:08:36,2011-05-26 02:09:34
1363,2011-05-29 01:31:39,2011-05-29 02:05:14
1364,2011-05-30 00:06:35,2011-05-30 02:03:53
1365,2011-05-30 07:06:25,2011-05-30 02:03:53
1367,2011-05-30 23:41:04,2011-05-30 02:03:53
1368,2011-05-31 23:22:39,2011-05-31 02:02:37
1372,2011-06-03 13:39:58,2011-06-03 01:59:08
1373,2011-06-04 11:54:38,2011-06-04 01:58:04
1375,2011-06-05 00:18:52,2011-06-05 01:57:07
1376,2011-06-05 10:41:33,2011-06-05 01:57:09
1378,2011-06-06 23:27:13,2011-06-06 01:56:11
1381,2011-06-07 23:44:27,2011-06-07 01:55:20
1384,2011-06-08 23:42:30,2011-06-08 01:54:32
1386,2011-06-13 23:44:01,2011-06-13 01:51:39
1387,2011-06-14 13:22:29,2011-06-14 01:51:18
1388,2011-06-14 17:33:20,2011-06-14 01:51:17
1390,2011-06-16 11:18:12,2011-06-16 01:50:47
1392,2011-06-16 17:20:34,2011-06-16 01:50:46
1393,2011-06-17 23:49:49,2011-06-17 01:50:37
1394,2011-06-19 01:25:29,2011-06-19 01:50:31
1395,2011-06-20 00:20:33,2011-06-20 01:50:35
1396,2011-06-20 23:38:09,2011-06-20 01:50:35
1398,2011-06-21 15:23:26,2011-06-21 01:50:43
1399,2011-06-21 23:55:42,2011-06-21 01:50:43
1400,2011-06-22 10:19:57,2011-06-22 01:50:55
1401,2011-06-23 00:27:44,2011-06-23 01:51:12
1402,2011-06-23 23:52:33,2011-06-23 01:51:12
1403,2011-06-24 13:02:51,2011-06-24 01:51:33
1411,2011-07-04 00:09:56,2011-07-04 01:58:46
1412,2011-07-04 15:21:41,2011-07-04 01:58:47
1413,2011-07-04 18:13:43,2011-07-04 01:58:47
1414,2011-07-05 08:23:02,2011-07-05 01:59:50
1416,2011-07-05 17:08:52,2011-07-05 01:59:50
1419,2011-07-07 12:30:36,2011-07-07 02:02:09
1420,2011-07-07 16:16:51,2011-07-07 02:02:09
1424,2011-07-08 17:41:24,2011-07-08 02:03:23
1425,2011-07-09 16:13:36,2011-07-09 02:04:40
1426,2011-07-09 18:25:22,2011-07-09 02:04:40
1427,2011-07-10 13:03:04,2011-07-10 02:06:00
1428,2011-07-10 16:36:02,2011-07-10 02:06:00
1429,2011-07-11 13:13:04,2011-07-11 02:07:22
1431,2011-07-12 13:33:05,2011-07-12 02:08:48
1436,2011-07-15 23:44:24,2011-07-15 02:13:19
1437,2011-07-16 16:13:16,2011-07-16 02:14:57
1439,2011-07-18 00:55:55,2011-07-18 02:18:13
1440,2011-07-18 11:54:36,2011-07-18 02:18:14
1441,2011-07-19 00:20:43,2011-07-19 02:19:56
1445,2011-07-20 08:28:37,2011-07-20 02:21:41
1450,2011-07-25 12:55:18,2011-07-25 02:30:45
